2017-01-03 10:45:46,501 [DEBUG] devpinoyLogger  - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2017-01-03 10:45:57,280 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 1][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2017-01-03 10:45:57,280 [DEBUG] devpinoyLogger  - Browser launched is firefox and maximized..
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 2][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:61702<->127.0.0.1:7055
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-2: set socket timeout to 10800000
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session/15df9eed-d8e6-4e5b-8062-ebcf78af6528/url HTTP/1.1
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2017-01-03 10:45:57,384 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> POST /hub/session/15df9eed-d8e6-4e5b-8062-ebcf78af6528/url HTTP/1.1
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Content-Type: application/json; charset=utf-8
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Content-Length: 38
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Host: 127.0.0.1:7055
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Connection: Keep-Alive
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0)
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Accept-Encoding: gzip,deflate
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "POST /hub/session/15df9eed-d8e6-4e5b-8062-ebcf78af6528/url HTTP/1.1[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Content-Length: 38[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Host: 127.0.0.1:7055[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Connection: Keep-Alive[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0)[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "[\r][\n]"
2017-01-03 10:45:57,385 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "{"url":"https://uat-vpost.specom.io/"}"
